,Title,Content,Abbreviation,date,Company_Name,titel_Sentiment,Content_Sentiment
0,Chinese start-up Moonshot AI raises US$1 billion in funding round led by Alibaba and VC HongShan amid strong interest for OpenAI-type firms,"Chinese artificial intelligence start-up Moonshot AI has raised more than US$1 billion in a new funding round led by e-commerce giant Alibaba Group Holding and venture capital firm HongShan, as interest among investors remains high for innovative mainland enterprises similar to ChatGPT creator OpenAI. Beijing-based Moonshot AI, known in Chinese as Yuezhi Anmian, was valued at about US$2.5 billion in its latest funding round, according to separate reports published on Monday by local media 36Kr a",BABA,2024-02-20,Alibaba Group Holding Limited,1,1
1,Alibaba Stock Falls as Chinese Markets Disappoint on Return From Lunar New Year,Shanghai stocks advanced on Monday but posted relatively modest gains as Chinese investors returned from the Lunar New Year holiday.,BABA,2024-02-19,Alibaba Group Holding Limited,1,1
2,Big Pension Bought Up NYCB Stock Right Before It Tumbled,"A New York pension bought up shares of New York Community Bank shortly before shares of the regional lender tumbled, and slashed investments in two Chinese companies.  New York State Common Retirement Fund added to its stake in  NYCB  in the fourth quarter of 2023, not long before shares dove at the end of January 2024.  During the quarter, the pension also sold material amounts of  Alibaba Group Holding  and  Tencent Music Entertainment Group  shares, and trimmed its investment in  Palantir Technologies  NYSCRF disclosed the stock trades, among others, in a form it filed with the Securities and Exchange Commission.",BABA,2024-02-19,Alibaba Group Holding Limited,1,1
3,25 Most Valuable Tech Companies Outside The US,"In this article, we will take a look at the 25 most valuable tech companies outside the US. If you want to skip our detailed analysis of the global tech industry, you can go directly to 5 Most Valuable Tech Companies Outside The US. The Global Tech Market The United States is one of the […]",BABA,2024-02-16,Alibaba Group Holding Limited,0,1
4,No Clear Sign of a Turnaround for Alibaba,Taobao and TMall Group's troubles overshadow growth from AIDC and Cainiao Logistics Group.,BABA,2024-02-16,Alibaba Group Holding Limited,1,-1
5,Wall Street Thinks These 3 Stocks Are Hidden Gems That Could Soar 43% to 59% Over the Next 12 Months,Analysts are quite bullish about these beaten-down stocks.,BABA,2024-02-16,Alibaba Group Holding Limited,-1,0
6,20 Popular Brands That Use Shopify,"In this piece, we will look at the 20 Popular Brands That Use Shopify. In case you want to skip our detailed analysis on the E-commerce industry, and discussion over Shopify’s success story, you can go directly to 5 Popular Brands That Use Shopify. The E-commerce Industry The e-commerce industry has experienced remarkable growth in […]",BABA,2024-02-16,Alibaba Group Holding Limited,1,1
7,20 Fastest Growing E-Commerce Companies in 2024,"In this piece, we will take a look at the 20 fastest growing e-commerce companies in 2024. If you want to skip our overview of the global e-commerce industry and the latest developments, then you can skip ahead and take a look at 5 Fastest Growing E-Commerce Companies in 2024. From the late 1990s and […]",BABA,2024-02-16,Alibaba Group Holding Limited,0,1
8,"Warren Buffett Stocks: Arista, 5 Chip Stocks Make This Screen","Arista, Lululemon among 24 names on this screen for Warren Buffett stocks based on the strategy of Berkshire's CEO.",BABA,2024-02-15,Alibaba Group Holding Limited,0,0
9,"Amazon, Alphabet, and Nvidia attract new interest from Wall Street's biggest investors","Some of Wall Street’s biggest investors made new bets on technology giants in the fourth quarter, loading up on stakes in Amazon, Alphabet, Alibaba, and Nvidia.",BABA,2024-02-15,Alibaba Group Holding Limited,1,1
